NHPDPropertyID,PropertyName,PropertyAddress,City,State,Zip,CBSACode,CBSAType,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,PropertyStatus,ActiveSubsidies,TotalInconclusiveSubsidies,TotalInactiveSubsidies,TotalUnits,EarliestStartDate,EarliestEndDate,LatestEndDate,Owner,OwnerType,ManagerName,ManagerType,HUDPropertyID,ReacScore1,ReacScore1Date,ReacScore2,ReacScore2Date,ReacScore3,ReacScore3Date,StudioOneBedroomUnits,TwoBedroomUnits,ThreePlusBedroomUnits,PercentofELIHouseholds,TargetTenantType,FairMarketRent_2BR,EarliestConstructionDate,LatestConstructionDate,OccupancyRate,AverageMonthsOfTenancy,NumberActiveSection8,NumberInconclusiveSection8,NumberInactiveSection8,S8_1_ID,S8_1_Status,S8_1_ProgramName,S8_1_RenewalStatus,S8_1_StartDate,S8_1_EndDate,S8_1_AssistedUnits,S8_1_RentToFMR,S8_1_InacStatusDesc,S8_2_ID,S8_2_Status,S8_2_ProgramName,S8_2_RenewalStatus,S8_2_StartDate,S8_2_EndDate,S8_2_AssistedUnits,S8_2_RentToFMR,S8_2_InacStatusDesc,NumberActiveSection202,NumberInconclusiveSection202,NumberInactiveSection202,S202_1_ID,S202_1_Status,S202_1_ProgramName,S202_1_StartDate,S202_1_EndDate,S202_1_AssistedUnits,S202_1_PrincipalBalance,S202_1_InacStatusDesc,S202_2_ID,S202_2_Status,S202_2_ProgramName,S202_2_StartDate,S202_2_EndDate,S202_2_AssistedUnits,S202_2_PrincipalBalance,S202_2_InacStatusDesc,NumberActiveSection236,NumberInconclusiveSection236,NumberInactiveSection236,S236_1_ID,S236_1_Status,S236_1_ProgramName,S236_1_StartDate,S236_1_EndDate,S236_1_AssistedUnits,S236_1_InacStatusDesc,S236_2_ID,S236_2_Status,S236_2_ProgramName,S236_2_StartDate,S236_2_EndDate,S236_2_AssistedUnits,S236_2_InacStatusDesc,NumberActiveHUDInsured,NumberInconclusiveHUDInsured,NumberInactiveHud,FHA_1_ID,FHA_1_Status,FHA_1_ProgramName,FHA_1_StartDate,FHA_1_EndDate,FHA_1_AssistedUnits,FHA_1_PrincipalBalance,FHA_1_InacStatusDesc,FHA_2_ID,FHA_2_Status,FHA_2_ProgramName,FHA_2_StartDate,FHA_2_EndDate,FHA_2_AssistedUnits,FHA_2_PrincipalBalance,FHA_2_InacStatusDesc,NumberActiveLihtc,NumberInconclusiveLihtc,NumberInactiveLihtc,LIHTC_1_ID,LIHTC_1_Status,LIHTC_1_ProgramName,LIHTC_1_StartDate,LIHTC_1_EndDate,LIHTC_1_AssistedUnits,LIHTC_1_ConstructionType,LIHTC_1_InacStatusDesc,LIHTC_2_ID,LIHTC_2_Status,LIHTC_2_ProgramName,LIHTC_2_StartDate,LIHTC_2_EndDate,LIHTC_2_AssistedUnits,LIHTC_2_ConstructionType,LIHTC_2_InacStatusDesc,NumberActiveSection515,NumberInconclusiveSection515,NumberInactiveSection515,RHS515_1_ID,RHS515_1_Status,RHS515_1_ProgramName,RHS515_1_StartDate,RHS515_1_EndDate,RHS515_1_AssistedUnits,RHS515_1_PrincipalBalance,RHS515_1_InacStatusDesc,RHS515_2_ID,RHS515_2_Status,RHS515_2_ProgramName,RHS515_2_StartDate,RHS515_2_EndDate,RHS515_2_AssistedUnits,RHS515_2_PrincipalBalance,RHS515_2_InacStatusDesc,NumberActiveSection538,NumberInconclusiveSection538,NumberInactiveSection538,RHS538_1_ID,RHS538_1_Status,RHS538_1_ProgramName,RHS538_1_StartDate,RHS538_1_EndDate,RHS538_1_AssistedUnits,RHS538_1_PrincipalBalance,RHS538_1_InacStatusDesc,RHS538_2_ID,RHS538_2_Status,RHS538_2_ProgramName,RHS538_2_StartDate,RHS538_2_EndDate,RHS538_2_AssistedUnits,RHS538_2_PrincipalBalance,RHS538_2_InacStatusDesc,NumberActiveHome,NumberInconclusiveHome,NumberInactiveHome,HOME_1_ID,HOME_1_Status,HOME_1_ProgramName,HOME_1_StartDate,HOME_1_EndDate,HOME_1_AssistedUnits,HOME_1_ConstructionType,HOME_1_InacStatusDesc,HOME_2_ID,HOME_2_Status,HOME_2_ProgramName,HOME_2_StartDate,HOME_2_EndDate,HOME_2_AssistedUnits,HOME_2_ConstructionType,HOME_2_InacStatusDesc,NumberActivePublicHousing,NumberInconclusivePublicHousing,NumberInactivePublicHousing,PH_1_ID,PH_1_Status,PH_1_ProgramName,PH_1_StartDate,PH_1_EndDate,PH_1_AssistedUnits,PH_1_InacStatusDesc,PH_1_PhaCode,PH_2_ID,PH_2_Status,PH_2_ProgramName,PH_2_StartDate,PH_2_EndDate,PH_2_AssistedUnits,PH_2_InacStatusDesc,PH_2_PhaCode,NumberActiveState,NumberInconclusiveState,NumberInactiveState,State_1_ID,State_1_Status,State_1_ProgramName,State_1_StartDate,State_1_EndDate,State_1_AssistedUnits,State_1_InacStatusDesc,State_1_ConstructionType,State_2_ID,State_2_Status,State_2_ProgramName,State_2_StartDate,State_2_EndDate,State_2_AssistedUnits,State_2_InacStatusDesc,State_2_ConstructionType,NumberActivePBV,NumberInconclusivePBV,NumberInactivePBV,Pbv_1_Status,Pbv_1_ProgramName,Pbv_1_AssistedUnits,Pbv_2_Status,Pbv_2_ProgramName,Pbv_2_AssistedUnits,NumberActiveMR,NumberInconclusiveMR,NumberInactiveMR,Mr_1_Status,Mr_1_ProgramName,Mr_1_AssistedUnits,Mr_2_Status,Mr_2_ProgramName,Mr_2_AssistedUnits,OldNHPDPropertyID
1000918,PARTHENIA TOWNHOUSES,21218 Parthenia St,Los Angeles,CA,91304-1650,31080,Metropolitan Statistical Area,Los Angeles,06037,06037113234,30,34.23,-119,Active,1,0,1,24,9/1/1995,2/28/2022,2/28/2022,PARTHENIA TOWNHOUSES,Profit Motivated,GK MANAGEMENT CO INC,Profit Motivated,800002168,95a,10/4/2019,92b,6/2/2016,92b,5/31/2016,0,5,6,82,Family,2160,1/1/1969,1/1/1969,99,174,1,0,0,CA16M000403,Active,Preservation,1a: Mark-Up-To-Market Eligibility,3/1/2017,2/28/2022,11,84.61,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1017934,CANOGA PARK,6824 Winnetka Ave,Los Angeles,CA,91306-3900,31080,Metropolitan Statistical Area,Los Angeles,06037,06037134800,30,34.19,-119,Active,1,0,0,14,4/1/2021,9/30/2021,9/30/2021,,Profit Motivated,AMERICAN REAL PROPERTY MANAGEMENT INC,Profit Motivated,800001163,65c,11/26/2018,94c,11/12/2014,94c,11/7/2014,0,12,2,83,Family,2010,1/1/1981,1/1/1981,92,164,1,0,0,CA160057020,Active,Sec 8 NC,2: Request Renewal Without Restructuring at or Below Comparable Rents,4/1/2021,9/30/2021,14,89.17,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1017936,MILWOOD APARTMENTS,6922 Milwood Ave,Los Angeles,CA,91303-2142,31080,Metropolitan Statistical Area,Los Angeles,06037,06037134520,30,34.20,-119,Active,1,0,0,8,6/1/2021,5/31/2041,5/31/2041,BIAFORA FAMILY LIMITED PARTNERSHIP,Profit Motivated,J & S MGMT CO,Non-Profit,800001979,91b,1/19/2018,91b,1/18/2018,89c,10/22/2015,8,0,0,,Elderly,2190,1/1/1969,1/1/1969,,,1,0,0,CA16M000339,Active,Preservation,5b: Request Contract Renewal for a Preservation Project,6/1/2021,5/31/2041,8,92.21,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1027217,ROSCOE PARK APARTMENTS,8332 Variel Ave,Los Angeles,CA,91304-4385,31080,Metropolitan Statistical Area,Los Angeles,06037,06037113234,30,34.22,-119,Active,2,0,1,82,10/1/2005,7/31/2024,7/1/2047,ROSCOE PARK APTS,Multiple,GK MANAGEMENT CO INC,Profit Motivated,800002331,92b,8/7/2017,92b,8/4/2017,90b,6/13/2014,11,17,9,75,Family,2160,1/1/1966,1/1/1966,100,196,1,0,0,CA16M000397,Active,Preservation,1a: Mark-Up-To-Market Eligibility,8/1/2019,7/31/2024,37,94.07,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,1,0,1,12211240,Active,207/ 223(F) PUR/ REFIN HSG,8/1/2012,7/1/2047,82,5456420,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,13815
1027508,DE SOTO GARDENS,8722 De Soto Ave,Los Angeles,CA,91304-1908,31080,Metropolitan Statistical Area,Los Angeles,06037,06037113421,30,34.23,-119,Active,1,0,2,248,10/1/1995,12/31/2025,12/31/2025,DE SOTO GARDENS,For Profit,GK MANAGEMENT CO INC,Profit Motivated,800001369,66c*,11/30/2018,95c*,6/2/2015,95c*,5/29/2015,24,116,98,71,Family,2160,1/1/1967,1/1/1967,98,217,1,0,0,CA16L000014,Active,Preservation,1a: Mark-Up-To-Market Eligibility,1/1/2021,12/31/2025,238,98.19,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,14514
1028585,ALABAMA COURT,7440 Alabama Ave,Los Angeles,CA,91303-1345,31080,Metropolitan Statistical Area,Los Angeles,06037,06037134522,30,34.21,-119,Active,1,0,0,42,1/1/1996,1/1/2026,1/1/2026,LA FAMILY HOUSING CORP,For Profit,,,,,,,,,,,,,,Family,2190,,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,0,0,CAA1996005,Active,9% Tax Credit,1/1/1996,1/1/2026,42,Acquisition and Rehab,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,22514
1028673,NOBLE PINES APARTMENTS,21611 Saticoy St,Los Angeles,CA,91304-4944,31080,Metropolitan Statistical Area,Los Angeles,06037,06037134306,30,34.21,-119,Active,1,0,0,68,1/1/1997,1/1/2027,1/1/2027,MCCORMACK BARON SALAZAR INC / MBA URBAN DEVELOPMENT CORP,For Profit,,,,,,,,,,35,11,22,,Family,2160,,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,0,0,CAA1997290,Active,9% Tax Credit,1/1/1997,1/1/2027,67,New Construction,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,22682
1029129,CASA DE CANOGA APARTMENTS,20717 Vanowen St,Los Angeles,CA,91306-3706,31080,Metropolitan Statistical Area,Los Angeles,06037,06037134904,30,34.19,-119,Active,1,0,0,102,1/1/2001,1/1/2031,1/1/2031,BROOKMORE APTS CORP,Non-Profit,,,,,,,,,,34,61,6,,,2010,,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,0,0,CAA2001095,Active,9% Tax Credit,1/1/2001,1/1/2031,101,Acquisition and Rehab,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,23172
1029473,VINTAGE CROSSING SENIOR APARTMENTS,6830 Jordan Ave,Los Angeles,CA,91303-4663,31080,Metropolitan Statistical Area,Los Angeles,06037,06037134520,30,34.19,-119,Active,2,0,0,161,1/1/2002,8/3/2022,1/1/2032,COMMUNITY HOUSING ASSISTANCE PROGRAM (CHAPA),For Profit,,,,,,,,,,130,,,,Elderly or disabled,2190,,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,0,0,CAA2002480,Active,9% Tax Credit,1/1/2002,1/1/2032,128,New Construction,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,0,0,2109705608,Active,HOME,8/3/2002,8/3/2022,25,Acquisition New Construction,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,23336
1029845,HART VILLAGE,6941 Owensmouth Ave,Los Angeles,CA,91303-2070,31080,Metropolitan Statistical Area,Los Angeles,06037,06037134520,30,34.20,-119,Active,2,0,0,47,1/1/2007,5/18/2032,1/1/2062,ABODE COMMUNITIES,Non-Profit,,,,,,,,,,,20,27,,Family,2190,,,,,0,0,0,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,0,0,CAA2007270,Active,9% Tax Credit,1/1/2007,1/1/2062,46,New Construction,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,0,0,2109709677,Active,HOME,5/18/2012,5/18/2032,23,New Construction,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,23942
