NHPDPropertyID,PropertyName,PropertyAddress,City,State,Zip,CBSACode,CBSAType,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,ReacScore1,ReacScore2,TargetTenantType,S8_1_ProgramName,S8_1_AssistedUnits,S8_1_RentToFMR,LIHTC_1_ProgramName,S8_2_ID
1000918,PARTHENIA TOWNHOUSES,21218 Parthenia St,Los Angeles,CA,91304-1650,31080,Metropolitan Statistical Area,Los Angeles,6037,6037113234,30,34.23,-119,95a,92b,Family,Preservation,11,84.61,,
1017934,CANOGA PARK,6824 Winnetka Ave,Los Angeles,CA,91306-3900,31080,Metropolitan Statistical Area,Los Angeles,6037,6037134800,30,34.19,-119,65c,94c,Family,Sec 8 NC,14,89.17,,
1017936,MILWOOD APARTMENTS,6922 Milwood Ave,Los Angeles,CA,91303-2142,31080,Metropolitan Statistical Area,Los Angeles,6037,6037134520,30,34.2,-119,91b,91b,Elderly,Preservation,8,92.21,,
1027217,ROSCOE PARK APARTMENTS,8332 Variel Ave,Los Angeles,CA,91304-4385,31080,Metropolitan Statistical Area,Los Angeles,6037,6037113234,30,34.22,-119,92b,92b,Family,Preservation,37,94.07,,
1027508,DE SOTO GARDENS,8722 De Soto Ave,Los Angeles,CA,91304-1908,31080,Metropolitan Statistical Area,Los Angeles,6037,6037113421,30,34.23,-119,66c*,95c*,Family,Preservation,238,98.19,,
1028585,ALABAMA COURT,7440 Alabama Ave,Los Angeles,CA,91303-1345,31080,Metropolitan Statistical Area,Los Angeles,6037,6037134522,30,34.21,-119,,,Family,,,,9% Tax Credit,
1028673,NOBLE PINES APARTMENTS,21611 Saticoy St,Los Angeles,CA,91304-4944,31080,Metropolitan Statistical Area,Los Angeles,6037,6037134306,30,34.21,-119,,,Family,,,,9% Tax Credit,
1029129,CASA DE CANOGA APARTMENTS,20717 Vanowen St,Los Angeles,CA,91306-3706,31080,Metropolitan Statistical Area,Los Angeles,6037,6037134904,30,34.19,-119,,,,,,,9% Tax Credit,
1029473,VINTAGE CROSSING SENIOR APARTMENTS,6830 Jordan Ave,Los Angeles,CA,91303-4663,31080,Metropolitan Statistical Area,Los Angeles,6037,6037134520,30,34.19,-119,,,Elderly or disabled,,,,9% Tax Credit,
1029845,HART VILLAGE,6941 Owensmouth Ave,Los Angeles,CA,91303-2070,31080,Metropolitan Statistical Area,Los Angeles,6037,6037134520,30,34.2,-119,,,Family,,,,9% Tax Credit,
1031013,CASA MADRID,20721 Vanowen St,Los Angeles,CA,91306-3724,31080,Metropolitan Statistical Area,Los Angeles,6037,6037134904,30,34.23,-118,,,Family,,,,9% Tax Credit,
1027568,VILLAGE WAY,20661 Lemarsh St,Los Angeles,CA,91311-3219,31080,Metropolitan Statistical Area,Los Angeles,6037,6037113322,30,34.26,-119,90c,90c,Disabled,PRAC/811,12,20.76,,
1008694,CASTLEWOOD TERRACE II,16930 Chatsworth St,Los Angeles,CA,91344-7840,31080,Metropolitan Statistical Area,Los Angeles,6037,6037111400,30,34.26,-119,95b,95b,Elderly,PRAC/202,90,68.16,,
1009513,RESEDA HORIZON,17831 San Jose St,Los Angeles,CA,91344-5925,31080,Metropolitan Statistical Area,Los Angeles,6037,6037111301,30,34.26,-119,91b,100a,Disabled,PRAC/811,6,135.63,,
1018091,GRANADA GARDENS,16700 Chatsworth St,Los Angeles,CA,91344-6503,31080,Metropolitan Statistical Area,Los Angeles,6037,6037111400,30,34.26,-118,79c*,82c*,Family,LMSA,33,36.03,,
1027154,PROJECT INDEPENDENCE,10454 Amestoy Ave,Los Angeles,CA,91344-6225,31080,Metropolitan Statistical Area,Los Angeles,6037,6037111301,30,34.26,-119,78b,94b,Disabled,PRAC/811,24,67.97,,
1027324,CASTLEWOOD TERRACE,16920 Chatsworth St,Los Angeles,CA,91344-7839,31080,Metropolitan Statistical Area,Los Angeles,6037,6037111400,30,34.26,-119,89b,89b,Elderly,PRAC/202,67,77.25,,
1030897,GREAT EXPECTATIONS,17026 Rinaldi St,Los Angeles,CA,91344-3543,31080,Metropolitan Statistical Area,Los Angeles,6037,6037106642,30,34.28,-119,98a,54c,Disabled,PRAC/811,6,55.92,,
1001114,GOOD SHEPHERD HOMES,510 Centinela Ave,Inglewood,CA,90302-3246,31080,Metropolitan Statistical Area,Los Angeles,6037,6037600902,43,33.97,-118,96b,96b,Disabled,202/8 NC,39,93.94,4% Tax Credit,
1009492,GRACE MANOR,508 Grace Ave,Inglewood,CA,90301-1338,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601001,43,33.97,-118,72b,72c,Disabled,PRAC/811,5,74.34,,
1018103,HOMEWARD BOUND 2000,419 E Tamarack Ave,Inglewood,CA,90301-6309,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601002,43,33.96,-118,79b,,Disabled,PRAC/811,2,122.11,,
1018105,HOMEWARD BOUND-INGLEWOOD,550 W Regent St,Inglewood,CA,90301-1080,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601401,43,33.96,-118,75b,75b,Disabled,PRAC/811,4,67.78,,
1023141,PACIFIC RIM APARTMENTS,230 S Grevillea Ave,Inglewood,CA,90301-2349,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601211,43,33.96,-118,93b,75c*,Disabled,202/8 NC,39,99.62,,
1027162,REGENT PLAZA,201 W Regent St,Inglewood,CA,90301-1249,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601211,43,33.96,-118,99a,87b,Elderly,Sec 8 NC,106,100.09,4% Tax Credit,
1027188,REGENCY TOWERS,151 N Locust St,Inglewood,CA,90301-1864,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601001,43,33.96,-118,99b,99b,Elderly,Sec 8 NC,103,101.3,4% Tax Credit,
1029513,OSAGE SENIOR VILLAS,924 S Osage Ave,Inglewood,CA,90301-4100,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601100,43,33.95,-118,,,Elderly or disabled,,,,9% Tax Credit,
1031617,PATH VILLAS OSAGE APARTMENTS,812 S Osage Ave,Inglewood,CA,90301-3550,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601002,43,33.95,-118,,,Family,,,,9% Tax Credit,
1032788,REGENT SQUARE,527 W Regent St,Inglewood,CA,90301-1198,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601401,43,33.96,-118,,,,,,,4% Tax Credit,
1032789,WESTSIDE II,725 Hindry Ave,Inglewood,CA,90301-3259,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601401,43,33.95,-118,,,,,,,TCEP,
1105142,EUCALYPTUS PARK,811 N Eucalyptus Ave,Inglewood,CA,90302-2236,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601303,43,33.97,-118,98a,100b,Elderly,Sec 8 NC,92,104.04,9% Tax Credit,
1106387,INGLEWOOD MEADOWS,1 S Locust St,Inglewood,CA,90301-1808,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601001,43,33.96,-118,97c,99b,Elderly,Sec 8 NC,198,106.04,4% Tax Credit,
1107761,MARKET PARK APARTMENTS,601 N Market St,Inglewood,CA,90302-3047,31080,Metropolitan Statistical Area,Los Angeles,6037,6037600902,43,33.97,-118,70c*,81c,Family,Preservation,50,84.27,4% Tax Credit,
1162221,PATH VILLAS EUCALYPTUS,240 Lime St,Inglewood,CA,90301-2642,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601212,43,33.96,-118,,,Elderly or disabled,,,,9% Tax Credit,
1001148,BUDLONG MANOR,11998 Terra Bella St,Los Angeles,CA,91342-7149,31080,Metropolitan Statistical Area,Los Angeles,6037,6037104108,29,34.28,-118,87c,88b,Elderly,Sec 8 NC,59,82.74,,
1028391,OSAGE APARTMENTS,11128 S Osage Ave,Inglewood,CA,90304-2902,31080,Metropolitan Statistical Area,Los Angeles,6037,6037601700,43,33.93,-118,,,Family,,,,9% Tax Credit,
1000161,MERIT HALL APARTMENTS,1035 Lewis Ave,Long Beach,CA,90813-3682,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576401,47,33.78,-118,83c*,83c*,Disabled,PRAC/811,19,58.13,,
1001162,DEL AMO GARDENS,225 W Del Amo Blvd,Long Beach,CA,90745,31080,Metropolitan Statistical Area,Los Angeles,6037,6037543501,44,33.83,-118,93c*,93c*,Elderly,Preservation,230,95.51,,
1014452,AMERICAN GOLD STAR MANOR,3021 N Gold Star Dr,Long Beach,CA,90810-2708,31080,Metropolitan Statistical Area,Los Angeles,6037,6037572500,47,33.81,-118,95c,95c,Elderly or disabled,,,,4% Tax Credit,
1014457,PARK PACIFIC TOWER,714 Pacific Ave,Long Beach,CA,90813-4234,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575803,47,33.78,-118,91c*,94b,Elderly,LMSA,84,100.81,,CA16M000333
1018077,SEAMIST TOWER,1451 Atlantic Ave,Long Beach,CA,90813-2076,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575300,47,33.78,-118,99b,99b,Elderly,202/8 NC,74,106.88,4% Tax Credit,
1018079,LONG BEACH MANOR,2209 Clark Ave,Long Beach,CA,90815-2522,31080,Metropolitan Statistical Area,Los Angeles,6037,6037574202,47,33.8,-118,90c*,84c,Disabled,PRAC/811,6,47.18,,
1018081,BELMENO MANOR,2441 Belmont Ave,Long Beach,CA,90815-1704,31080,Metropolitan Statistical Area,Los Angeles,6037,6037574202,47,33.8,-118,92a,92a,Disabled,PRAC/811,6,55,,
1018083,SCHERER PARK APARTMENTS,4676 Long Beach Blvd,Long Beach,CA,90805-6961,31080,Metropolitan Statistical Area,Los Angeles,6037,6037571502,47,33.84,-118,74c*,74c*,Elderly,Sec 8 NC,57,92.71,,
1018085,BEACHWOOD APARTMENTS,505 W 6th St,Long Beach,CA,90802-1109,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575901,47,33.77,-118,52c*,66c*,Disabled,202/8 NC,44,102.15,4% Tax Credit,
1018086,PACIFIC COAST VILLA,690 E Pacific Coast Hwy,Long Beach,CA,90806-5520,31080,Metropolitan Statistical Area,Los Angeles,6037,6037573202,47,33.79,-118,73c*,75b,Family,Sec 8 NC,50,93.7,,
1027088,CASA CORAZON,408 Elm Ave,Long Beach,CA,90802-2428,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576200,47,33.77,-118,91b,56c*,Disabled,PRAC/811,24,57.57,,
1027094,CASITAS DEL MAR II,1030 Olive Ave,Long Beach,CA,90813-3519,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576302,47,33.78,-118,86b,79b,Family,Sec 8 NC,3,70.34,,
1027118,NORTHPOINTE APARTMENTS II,5441 N Paramount Blvd,Long Beach,CA,90805-5128,31080,Metropolitan Statistical Area,Los Angeles,6037,6037570603,44,33.86,-118,83c*,90c,Family,Preservation,87,92.94,4% Tax Credit,CA16M000378
1027168,FEDERATION TOWER,3801 E Willow St,Long Beach,CA,90815-1734,31080,Metropolitan Statistical Area,Los Angeles,6037,6037574202,47,33.81,-118,95a,95a,Elderly,202/8 NC,50,129.01,,
1027204,LUTHERAN TOWERS,2340 E 4th St,Long Beach,CA,90814-1173,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576801,47,33.77,-118,66c,87c,Elderly,202/8 NC,92,111.9,,
1027246,CASITAS DEL MAR I,1324 E Hellman St,Long Beach,CA,90813-4981,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576402,47,33.78,-118,54c,79b,Family,Sec 8 NC,4,72.83,,
1027258,PLYMOUTH WEST,240 Chestnut Ave,Long Beach,CA,90802-2949,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575902,47,33.77,-118,82b*,84c,Elderly,LMSA,137,109.26,4% Tax Credit,
1027278,NEW HOPE HOME,1150 E New York St,Long Beach,CA,90813-2217,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575201,47,33.78,-118,80c,88c,Elderly,LMSA,140,86.1,4% Tax Credit,
1027286,COVENANT MANOR,600 E 4th St,Long Beach,CA,90802-2681,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576200,47,33.77,-118,90b,90b,Elderly,202/8 NC,100,102.36,4% Tax Credit,
1027293,PROVIDENCE GARDENS,1011 Pine Ave,Long Beach,CA,90813-3149,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575803,47,33.78,-118,98b,90c,Elderly,LMSA,157,111.52,4% Tax Credit,
1027314,CASITAS DEL MAR III,1430 E 17th St,Long Beach,CA,90813-2312,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575201,47,33.79,-118,53c*,60b*,Family,Sec 8 NC,3,74,,
1027335,ST MARY'S TOWER,1120 Atlantic Ave,Long Beach,CA,90813-3378,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576302,47,33.78,-118,97c,69c,Elderly,202/8 NC,148,101.37,,
1027462,LONG BEACH SENIOR HOUSING,575 E Vernon St,Long Beach,CA,90806-3180,31080,Metropolitan Statistical Area,Los Angeles,6037,6037573201,47,33.8,-118,92b,91b,Elderly,PRAC/202,65,48.9,,
1028107,CITYVIEW APARTMENTS (FKA BRETHREN MANOR),3333 Pacific Pl,Long Beach,CA,90806-1259,31080,Metropolitan Statistical Area,Los Angeles,6037,6037572201,47,33.82,-118,92b,92b,,,,,4% Tax Credit,
1028297,BEECHWOOD TERRACE,1117 Elm Ave,Long Beach,CA,90813-3299,31080,Metropolitan Statistical Area,Los Angeles,6037,6037576301,47,33.78,-118,,,Family,,,,9% Tax Credit,
1028393,PACIFIC COURT APARTMENTS,250 Pacific Ave,Long Beach,CA,90802-3000,31080,Metropolitan Statistical Area,Los Angeles,6037,6037575902,47,33.77,-118,,,,,,,4% Tax Credit,
1028430,CAMBRIDGE PLACE,421 W 33rd St,Long Beach,CA,90806-7386,31080,Metropolitan Statistical Area,Los Angeles,6037,6037572201,47,33.82,-118,,,Family,,,,9% Tax Credit,
