NHPDPropertyID,PropertyName,PropertyAddress,City,State,Zip,CBSACode,CBSAType,County,CountyCode,CensusTract,CongressionalDistrict,Latitude,Longitude,PropertyStatus,ActiveSubsidies,TotalInconclusiveSubsidies,TotalInactiveSubsidies,TotalUnits,EarliestStartDate,EarliestEndDate,LatestEndDate,Owner,OwnerType,ManagerName,ManagerType,HUDPropertyID,ReacScore1,ReacScore1Date,ReacScore2,ReacScore2Date,ReacScore3,ReacScore3Date,StudioOneBedroomUnits,TwoBedroomUnits,ThreePlusBedroomUnits,PercentofELIHouseholds,TargetTenantType,FairMarketRent_2BR,EarliestConstructionDate,LatestConstructionDate,OccupancyRate,AverageMonthsOfTenancy,NumberActiveSection8,NumberInconclusiveSection8,NumberInactiveSection8,S8_1_ID,S8_1_Status,S8_1_ProgramName,S8_1_RenewalStatus,S8_1_StartDate,S8_1_EndDate,S8_1_AssistedUnits,S8_1_RentToFMR,S8_1_InacStatusDesc,S8_2_ID,S8_2_Status,S8_2_ProgramName,S8_2_RenewalStatus,S8_2_StartDate,S8_2_EndDate,S8_2_AssistedUnits,S8_2_RentToFMR,S8_2_InacStatusDesc,NumberActiveSection202,NumberInconclusiveSection202,NumberInactiveSection202,S202_1_ID,S202_1_Status,S202_1_ProgramName,S202_1_StartDate,S202_1_EndDate,S202_1_AssistedUnits,S202_1_PrincipalBalance,S202_1_InacStatusDesc,S202_2_ID,S202_2_Status,S202_2_ProgramName,S202_2_StartDate,S202_2_EndDate,S202_2_AssistedUnits,S202_2_PrincipalBalance,S202_2_InacStatusDesc,NumberActiveSection236,NumberInconclusiveSection236,NumberInactiveSection236,S236_1_ID,S236_1_Status,S236_1_ProgramName,S236_1_StartDate,S236_1_EndDate,S236_1_AssistedUnits,S236_1_InacStatusDesc,S236_2_ID,S236_2_Status,S236_2_ProgramName,S236_2_StartDate,S236_2_EndDate,S236_2_AssistedUnits,S236_2_InacStatusDesc,NumberActiveHUDInsured,NumberInconclusiveHUDInsured,NumberInactiveHud,FHA_1_ID,FHA_1_Status,FHA_1_ProgramName,FHA_1_StartDate,FHA_1_EndDate,FHA_1_AssistedUnits,FHA_1_PrincipalBalance,FHA_1_InacStatusDesc,FHA_2_ID,FHA_2_Status,FHA_2_ProgramName,FHA_2_StartDate,FHA_2_EndDate,FHA_2_AssistedUnits,FHA_2_PrincipalBalance,FHA_2_InacStatusDesc,NumberActiveLihtc,NumberInconclusiveLihtc,NumberInactiveLihtc,LIHTC_1_ID,LIHTC_1_Status,LIHTC_1_ProgramName,LIHTC_1_StartDate,LIHTC_1_EndDate,LIHTC_1_AssistedUnits,LIHTC_1_ConstructionType,LIHTC_1_InacStatusDesc,LIHTC_2_ID,LIHTC_2_Status,LIHTC_2_ProgramName,LIHTC_2_StartDate,LIHTC_2_EndDate,LIHTC_2_AssistedUnits,LIHTC_2_ConstructionType,LIHTC_2_InacStatusDesc,NumberActiveSection515,NumberInconclusiveSection515,NumberInactiveSection515,RHS515_1_ID,RHS515_1_Status,RHS515_1_ProgramName,RHS515_1_StartDate,RHS515_1_EndDate,RHS515_1_AssistedUnits,RHS515_1_PrincipalBalance,RHS515_1_InacStatusDesc,RHS515_2_ID,RHS515_2_Status,RHS515_2_ProgramName,RHS515_2_StartDate,RHS515_2_EndDate,RHS515_2_AssistedUnits,RHS515_2_PrincipalBalance,RHS515_2_InacStatusDesc,NumberActiveSection538,NumberInconclusiveSection538,NumberInactiveSection538,RHS538_1_ID,RHS538_1_Status,RHS538_1_ProgramName,RHS538_1_StartDate,RHS538_1_EndDate,RHS538_1_AssistedUnits,RHS538_1_PrincipalBalance,RHS538_1_InacStatusDesc,RHS538_2_ID,RHS538_2_Status,RHS538_2_ProgramName,RHS538_2_StartDate,RHS538_2_EndDate,RHS538_2_AssistedUnits,RHS538_2_PrincipalBalance,RHS538_2_InacStatusDesc,NumberActiveHome,NumberInconclusiveHome,NumberInactiveHome,HOME_1_ID,HOME_1_Status,HOME_1_ProgramName,HOME_1_StartDate,HOME_1_EndDate,HOME_1_AssistedUnits,HOME_1_ConstructionType,HOME_1_InacStatusDesc,HOME_2_ID,HOME_2_Status,HOME_2_ProgramName,HOME_2_StartDate,HOME_2_EndDate,HOME_2_AssistedUnits,HOME_2_ConstructionType,HOME_2_InacStatusDesc,NumberActivePublicHousing,NumberInconclusivePublicHousing,NumberInactivePublicHousing,PH_1_ID,PH_1_Status,PH_1_ProgramName,PH_1_StartDate,PH_1_EndDate,PH_1_AssistedUnits,PH_1_InacStatusDesc,PH_1_PhaCode,PH_2_ID,PH_2_Status,PH_2_ProgramName,PH_2_StartDate,PH_2_EndDate,PH_2_AssistedUnits,PH_2_InacStatusDesc,PH_2_PhaCode,NumberActiveState,NumberInconclusiveState,NumberInactiveState,State_1_ID,State_1_Status,State_1_ProgramName,State_1_StartDate,State_1_EndDate,State_1_AssistedUnits,State_1_InacStatusDesc,State_1_ConstructionType,State_2_ID,State_2_Status,State_2_ProgramName,State_2_StartDate,State_2_EndDate,State_2_AssistedUnits,State_2_InacStatusDesc,State_2_ConstructionType,NumberActivePBV,NumberInconclusivePBV,NumberInactivePBV,Pbv_1_Status,Pbv_1_ProgramName,Pbv_1_AssistedUnits,Pbv_2_Status,Pbv_2_ProgramName,Pbv_2_AssistedUnits,NumberActiveMR,NumberInconclusiveMR,NumberInactiveMR,Mr_1_Status,Mr_1_ProgramName,Mr_1_AssistedUnits,Mr_2_Status,Mr_2_ProgramName,Mr_2_AssistedUnits,OldNHPDPropertyID
1000035,AUBURN VILLA,628 Mikkelsen Dr,Auburn,CA,95603-2054,40900,Metropolitan Statistical Area,Placer,06061,06061020300,04,39,-121,Active,2,1,2,50,3/1/1978,9/30/2038,1/1/2072,AUBURN VILLA PRESERVATION LP,Profit Motivated,PRESERVATION PARTNERS MANAGEMENT GROUP INC,Profit Motivated,800001070,98b,5/29/2018,98b,5/25/2018,86c,8/24/2015,50,0,0,68,Elderly,1480,1/1/1974,1/1/1974,94,70,1,0,0,CA390014068,Active,Sec 8 NC,1b: Discretionary Authority Eligibility Mark-Up-To-Market,10/1/2018,9/30/2038,50,108.08,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,1,1,0,CAA2017016,Active,4% Tax Credit,1/1/2017,1/1/2072,49,Acquisition and Rehab,,CAA0000034,Inconclusive,,,,,,End Date Missing,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1000037,TELACU LAS PALOMAS,3834 Monterey Ave,Baldwin Park,CA,91706-4063,31080,Metropolitan Statistical Area,Los Angeles,06037,06037404801,32,34.08,-118,Active,1,0,0,75,9/1/2020,8/31/2040,8/31/2040,TELACU HOUSING - BALDWIN PARK INC,Non-Profit,TELACU RESIDENTIAL MANAGEMENT,Non-Profit,800076406,96b,10/9/2015,96b,10/5/2015,97b,1/10/2012,74,1,0,96,Elderly,1940,1/1/1998,1/1/1998,100,126,1,0,0,CA16S971011,Active,PRAC/202,,9/1/2020,8/31/2040,74,42.92,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1000039,OCEAN VIEW GARDEN APARTMENTS,819 Hearst Ave,Berkeley,CA,94710-2060,41860,Metropolitan Statistical Area,Alameda,06001,06001422000,13,38,-122,Active,1,0,0,62,1/1/2014,12/31/2033,12/31/2033,OCEAN VIEW GARDENS LP,Profit Motivated,FPI MANAGEMENT INC,Profit Motivated,800002090,89c*,1/3/2019,85c*,3/15/2016,85c*,3/14/2016,18,32,12,77,Family,2280,1/1/1981,1/1/1981,99,200,1,0,0,CA39H113098,Active,HFDA/8 NC,1b: Discretionary Authority Eligibility Mark-Up-To-Market,1/1/2014,12/31/2033,62,138.31,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1000041,CORONA COMMUNITY VILLAS,2680 S Main St,Corona,CA,92882-5907,40140,Metropolitan Statistical Area,Riverside,06065,06065041808,42,34,-118,Active,1,0,0,75,3/1/2019,2/28/2039,2/28/2039,CORONA VILLAS HOUSING LP,Profit Motivated,CORONA VILLAS HOUSING LP,Profit Motivated,800001329,81c,12/17/2018,97b,8/31/2015,97b,8/25/2015,74,0,0,78,Elderly,1610,1/1/1986,1/1/1986,98,98,1,0,0,CA16T851001,Active,202/8 NC,1a: Mark-Up-To-Market Eligibility,3/1/2019,2/28/2039,74,148.21,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1000043,MARVIN GARDENS,770 E Cotati Ave,Cotati,CA,94931-4014,42220,Metropolitan Statistical Area,Sonoma,06097,06097151203,05,38,-123,Active,2,0,0,37,5/1/2018,4/30/2038,9/1/2055,MARVIN GARDENS ASSOCIATES LIMITED PARTNERSHIP,Profit Motivated,EUGENE BURGER MANAGEMENT CORPORATION,Profit Motivated,800001926,86c*,9/11/2018,86b*,5/5/2015,86b*,5/4/2015,1,27,9,77,Family,1950,1/1/1981,1/1/1981,94,128,1,0,0,CA39H113093,Active,HFDA/8 NC,1a: Mark-Up-To-Market Eligibility,5/1/2018,4/30/2038,37,107.15,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,1,0,0,12111275,Active,207/ 223(F) PUR/ REFIN HSG,10/1/2020,9/1/2055,37,8470768,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1000045,WESTERN GARDENS,1742 W 84th Pl,Los Angeles,CA,90047-3065,31080,Metropolitan Statistical Area,Los Angeles,06037,06037238100,37,33.96,-118,Active,1,0,1,35,1/1/1984,12/31/2039,12/31/2039,ROBERT WESTERN PRESERVATION LP,Profit Motivated,EMP III INC DBA ALPHA PROPERTY MANAGEMENT,Profit Motivated,800002791,83b,9/25/2018,77b,10/21/2015,65c,10/20/2015,0,29,6,67,Family,1830,1/1/1981,1/1/1981,83,156,1,0,0,CA160068050,Active,Sec 8 NC,1a: Mark-Up-To-Market Eligibility,1/1/2020,12/31/2039,35,90.06,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1000047,GEORGE MCDONALD COURT APARTMENTS,1800 E 92nd St,Los Angeles,CA,90002-2461,31080,Metropolitan Statistical Area,Los Angeles,06037,06037242200,44,33.95,-118,Active,1,0,0,61,9/1/2020,8/31/2040,8/31/2040,BANDERA SENIOR HOUSING CORP,Non-Profit,SOUTHERN CALIFORNIA PRESBYTERIAN HOMES,Non-Profit,800076392,90b,2/21/2018,90b,10/15/2015,85c*,10/14/2015,60,0,0,92,Elderly,1770,1/1/1998,1/1/1998,98,102,1,0,0,CA16S961012,Active,PRAC/202,,9/1/2020,8/31/2040,60,59.68,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1000049,SUBSIDIZED HOUSING CORPORATION 4,232 S Avenue 56,Los Angeles,CA,90042-4610,31080,Metropolitan Statistical Area,Los Angeles,06037,06037183820,34,34.11,-118,Active,13,1,0,20,8/1/2020,7/31/2021,5/31/2022,SUBSIDIZED HOUSING CORPORATION,Profit Motivated,SUBSIDIZED HOUSING CORPORATION,Profit Motivated,800079753,98a,9/18/2018,97a,2/4/2014,97a,2/3/2014,0,0,1,42,Family,2010,1/1/1995,1/1/1995,100,357,13,1,0,CA160060033,Active,Sec 8 NC,2: Request Renewal Without Restructuring at or Below Comparable Rents,9/1/2020,8/31/2021,1,60.22,,CA160060023,Active,Sec 8 NC,2: Request Renewal Without Restructuring at or Below Comparable Rents,9/1/2020,8/31/2021,1,62.26,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1000051,ST NICHOLAS CEDARS MANOR,2323 W 4th St,Los Angeles,CA,90057-2748,31080,Metropolitan Statistical Area,Los Angeles,06037,06037208802,34,34.06,-118,Active,1,0,1,26,1/1/1980,11/30/2021,11/30/2021,ST NICHOLAS CEDARS MANOR INC,Non-Profit,SKWR MANAGEMENT CORP,Profit Motivated,800002486,93b*,5/22/2018,93b*,9/30/2014,90c*,9/29/2014,23,3,0,100,Elderly,1890,1/1/1978,1/1/1978,95,165,1,0,0,CA160002021,Active,Sec 8 NC,2: Request Renewal Without Restructuring at or Below Comparable Rents,11/5/2020,11/30/2021,26,87.75,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
1000053,MIDWILSHIRE APARTMENTS,2826 S La Salle Ave,Los Angeles,CA,90018-3184,31080,Metropolitan Statistical Area,Los Angeles,06037,06037222200,37,34.03,-118,Active,1,1,0,75,9/1/2017,12/31/2020,8/31/2022,MID-WILSHIRE APTS HOUSING CORPORATION,Non-Profit,GENESSY MANAGEMENT AND DEVELOPMENT LLC (GMD),Profit Motivated,800001972,89b,2/13/2017,89b,2/10/2017,90b,3/10/2014,62,5,0,100,Family,1810,1/1/1971,1/1/1971,83,123,1,1,0,CA16M000230,Active,LMSA,1b: Discretionary Authority Eligibility Mark-Up-To-Market,9/1/2017,8/31/2022,7,90.09,,CA16L000001,Inconclusive,LMSA,2: Request Renewal Without Restructuring at or Below Comparable Rents,7/1/2020,12/31/2020,67,35.49,End Date Passed,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,0,0,0,,,,,,,
